DATE & TIME,LATITUDE,LONGITUDE,DEPTH (KM),MAGNITUDE,LOCATION,DATE,TIME,CATEGORY,AREA,PROVINCE
08 January 2023 - 02:57 AM,14.45,120.17,50.0,2.7,027 km S 22° W of Morong (Bataan),08 January 2023,02:57 AM,Slightly Felt,Morong,Bataan
08 January 2023 - 01:44 AM,12.57,121.87,32.0,1.9,017 km N 71° W of San Andres (Romblon),08 January 2023,01:44 AM,Scarcely Perceptible,San Andres,Romblon
08 January 2023 - 01:34 AM,9.18,125.67,24.0,2.5,015 km N 67° E of City Of Cabadbaran (Agusan Del Norte),08 January 2023,01:34 AM,Slightly Felt,City Of Cabadbaran,Agusan Del Norte
08 January 2023 - 12:17 AM,18.58,120.44,19.0,2.0,023 km N 71° W of Burgos (Ilocos Norte),08 January 2023,12:17 AM,Slightly Felt,Burgos,Ilocos Norte
07 January 2023 - 11:45 PM,9.81,123.85,18.0,1.5,006 km N 81° E of Loon (Bohol),07 January 2023,11:45 PM,Scarcely Perceptible,Loon,Bohol
07 January 2023 - 11:27 PM,14.07,120.44,112.0,2.0,021 km S 88° W of Nasugbu (Batangas),07 January 2023,11:27 PM,Slightly Felt,Nasugbu,Batangas
07 January 2023 - 10:01 PM,13.84,120.57,156.0,3.6,006 km N 85° W of Calatagan (Batangas),07 January 2023,10:01 PM,Weak,Calatagan,Batangas
07 January 2023 - 09:33 PM,17.67,119.63,12.0,3.6,078 km N 83° W of Santa Catalina (Ilocos Sur),07 January 2023,09:33 PM,Weak,Santa Catalina,Ilocos Sur
07 January 2023 - 09:09 PM,6.59,126.61,31.0,2.0,060 km S 83° E of Governor Generoso (Davao Oriental),07 January 2023,09:09 PM,Slightly Felt,Governor Generoso,Davao Oriental
07 January 2023 - 08:20 PM,15.92,121.0,5.0,2.3,009 km S 55° W of Carranglan (Nueva Ecija),07 January 2023,08:20 PM,Slightly Felt,Carranglan,Nueva Ecija
07 January 2023 - 07:59 PM,13.7,120.6,81.0,1.9,016 km S 13° W of Calatagan (Batangas),07 January 2023,07:59 PM,Scarcely Perceptible,Calatagan,Batangas
07 January 2023 - 07:49 PM,15.89,120.97,4.0,3.5,008 km N 76° E of Lupao (Nueva Ecija),07 January 2023,07:49 PM,Weak,Lupao,Nueva Ecija
07 January 2023 - 06:00 PM,10.75,124.95,29.0,1.9,006 km S 16° E of Javier (Leyte),07 January 2023,06:00 PM,Scarcely Perceptible,Javier,Leyte
07 January 2023 - 04:17 PM,8.07,126.31,85.0,2.5,012 km N 74° W of Lingig (Surigao Del Sur),07 January 2023,04:17 PM,Slightly Felt,Lingig,Surigao Del Sur
07 January 2023 - 01:31 PM,19.85,121.45,16.0,2.8,061 km N 53° W of Babuyan Island (Calayan) (Cagayan),07 January 2023,01:31 PM,Slightly Felt,Babuyan Island,Calayan
07 January 2023 - 11:58 AM,13.12,125.47,83.0,2.8,074 km N 31° E of Palapag (Northern Samar),07 January 2023,11:58 AM,Slightly Felt,Palapag,Northern Samar
07 January 2023 - 06:27 AM,17.81,120.67,15.0,2.7,010 km N 19° W of Lagayan (Abra),07 January 2023,06:27 AM,Slightly Felt,Lagayan,Abra
07 January 2023 - 06:16 AM,16.72,120.83,6.0,3.1,009 km S 08° E of Buguias (Benguet),07 January 2023,06:16 AM,Weak,Buguias,Benguet
06 January 2023 - 11:59 PM,9.06,126.1,30.0,2.7,007 km S 75° W of City Of Tandag (Surigao Del Sur),06 January 2023,11:59 PM,Slightly Felt,City Of Tandag,Surigao Del Sur
06 January 2023 - 09:48 PM,5.12,126.3,22.0,3.2,099 km S 67° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental),06 January 2023,09:48 PM,Weak,Sarangani Island,Municipality Of Sarangani
06 January 2023 - 09:12 PM,16.06,121.99,4.0,2.3,010 km S 21° E of Dinalungan (Aurora),06 January 2023,09:12 PM,Slightly Felt,Dinalungan,Aurora
06 January 2023 - 07:18 PM,16.21,120.76,25.0,2.1,019 km S 26° E of Itogon (Benguet),06 January 2023,07:18 PM,Slightly Felt,Itogon,Benguet
06 January 2023 - 06:51 PM,18.76,120.86,2.0,2.8,026 km N 31° W of Santa Praxedes (Cagayan),06 January 2023,06:51 PM,Slightly Felt,Santa Praxedes,Cagayan
06 January 2023 - 06:45 PM,9.1,125.64,9.0,3.3,008 km N 50° E of Remedios T. Romualdez (Agusan Del Norte),06 January 2023,06:45 PM,Weak,Remedios T. Romualdez,Agusan Del Norte
06 January 2023 - 04:35 PM,13.92,120.53,83.0,1.4,014 km N 49° W of Calatagan (Batangas),06 January 2023,04:35 PM,Scarcely Perceptible,Calatagan,Batangas
06 January 2023 - 04:17 PM,19.94,121.53,25.0,2.6,057 km S 39° W of Sabtang (Batanes),06 January 2023,04:17 PM,Slightly Felt,Sabtang,Batanes
06 January 2023 - 12:49 PM,6.75,126.6,90.0,2.6,037 km S 28° E of Tarragona (Davao Oriental),06 January 2023,12:49 PM,Slightly Felt,Tarragona,Davao Oriental
06 January 2023 - 12:03 PM,21.13,121.13,33.0,3.5,083 km N 63° W of Itbayat (Batanes),06 January 2023,12:03 PM,Weak,Itbayat,Batanes
06 January 2023 - 09:08 AM,13.74,120.55,80.0,1.5,013 km S 42° W of Calatagan (Batangas),06 January 2023,09:08 AM,Scarcely Perceptible,Calatagan,Batangas
